"State_ANSI","State","County_ANSI","Geo Code","ANSI Code","County Name","County Long Name"
"01","Alabama","001","01001","00161526","Autauga","Autauga County"
"01","Alabama","003","01003","00161527","Baldwin","Baldwin County"
"01","Alabama","005","01005","00161528","Barbour","Barbour County"
"01","Alabama","007","01007","00161529","Bibb","Bibb County"
"01","Alabama","009","01009","00161530","Blount","Blount County"
"01","Alabama","011","01011","00161531","Bullock","Bullock County"
"01","Alabama","013","01013","00161532","Butler","Butler County"
"01","Alabama","015","01015","00161533","Calhoun","Calhoun County"
"01","Alabama","017","01017","00161534","Chambers","Chambers County"
"01","Alabama","019","01019","00161535","Cherokee","Cherokee County"
"01","Alabama","021","01021","00161536","Chilton","Chilton County"
"01","Alabama","023","01023","00161537","Choctaw","Choctaw County"
"01","Alabama","025","01025","00161538","Clarke","Clarke County"
"01","Alabama","027","01027","00161539","Clay","Clay County"
"01","Alabama","029","01029","00161540","Cleburne","Cleburne County"
"01","Alabama","031","01031","00161541","Coffee","Coffee County"
"01","Alabama","033","01033","00161542","Colbert","Colbert County"
"01","Alabama","035","01035","00161543","Conecuh","Conecuh County"
"01","Alabama","037","01037","00161544","Coosa","Coosa County"
"01","Alabama","039","01039","00161545","Covington","Covington County"
"01","Alabama","041","01041","00161546","Crenshaw","Crenshaw County"
"01","Alabama","043","01043","00161547","Cullman","Cullman County"
"01","Alabama","045","01045","00161548","Dale","Dale County"
"01","Alabama","047","01047","00161549","Dallas","Dallas County"
"01","Alabama","049","01049","00161550","DeKalb","DeKalb County"
"01","Alabama","051","01051","00161551","Elmore","Elmore County"
"01","Alabama","053","01053","00161552","Escambia","Escambia County"
"01","Alabama","055","01055","00161553","Etowah","Etowah County"
"01","Alabama","057","01057","00161554","Fayette","Fayette County"
"01","Alabama","059","01059","00161555","Franklin","Franklin County"
"01","Alabama","061","01061","00161556","Geneva","Geneva County"
"01","Alabama","063","01063","00161557","Greene","Greene County"
"01","Alabama","065","01065","00161558","Hale","Hale County"
"01","Alabama","067","01067","00161559","Henry","Henry County"
"01","Alabama","069","01069","00161560","Houston","Houston County"
"01","Alabama","071","01071","00161561","Jackson","Jackson County"
"01","Alabama","073","01073","00161562","Jefferson","Jefferson County"
"01","Alabama","075","01075","00161563","Lamar","Lamar County"
"01","Alabama","077","01077","00161564","Lauderdale","Lauderdale County"
"01","Alabama","079","01079","00161565","Lawrence","Lawrence County"
"01","Alabama","081","01081","00161566","Lee","Lee County"
"01","Alabama","083","01083","00161567","Limestone","Limestone County"
"01","Alabama","085","01085","00161568","Lowndes","Lowndes County"
"01","Alabama","087","01087","00161569","Macon","Macon County"
"01","Alabama","089","01089","00161570","Madison","Madison County"
"01","Alabama","091","01091","00161572","Marengo","Marengo County"
"01","Alabama","093","01093","00161573","Marion","Marion County"
"01","Alabama","095","01095","00161574","Marshall","Marshall County"
"01","Alabama","097","01097","00161575","Mobile","Mobile County"
"01","Alabama","099","01099","00161576","Monroe","Monroe County"
"01","Alabama","101","01101","00161577","Montgomery","Montgomery County"
"01","Alabama","103","01103","00161578","Morgan","Morgan County"
"01","Alabama","105","01105","00161579","Perry","Perry County"
"01","Alabama","107","01107","00161580","Pickens","Pickens County"
"01","Alabama","109","01109","00161581","Pike","Pike County"
"01","Alabama","111","01111","00161582","Randolph","Randolph County"
"01","Alabama","113","01113","00161583","Russell","Russell County"
"01","Alabama","117","01117","00161584","Shelby","Shelby County"
"01","Alabama","115","01115","00164997","St. Clair","St. Clair County"
"01","Alabama","119","01119","00161585","Sumter","Sumter County"
"01","Alabama","121","01121","00161586","Talladega","Talladega County"
"01","Alabama","123","01123","00161587","Tallapoosa","Tallapoosa County"
"01","Alabama","125","01125","00161588","Tuscaloosa","Tuscaloosa County"
"01","Alabama","127","01127","00161589","Walker","Walker County"
"01","Alabama","129","01129","00161590","Washington","Washington County"
"01","Alabama","131","01131","00161591","Wilcox","Wilcox County"
"01","Alabama","133","01133","00161592","Winston","Winston County"
"02","Alaska","013","02013","01419964","Aleutians East","Aleutians East Borough"
"02","Alaska","016","02016","01419965","Aleutians West","Aleutians West Census Area"
"02","Alaska","020","02020","01416061","Anchorage","Anchorage Municipality"
"02","Alaska","050","02050","01419966","Bethel","Bethel Census Area"
"02","Alaska","060","02060","01419967","Bristol Bay","Bristol Bay Borough"
"02","Alaska","068","02068","01419988","Denali","Denali Borough"
"02","Alaska","070","02070","01419968","Dillingham","Dillingham Census Area"
"02","Alaska","090","02090","01419969","Fairbanks North Star","Fairbanks North Star Borough"
"02","Alaska","100","02100","01419970","Haines","Haines Borough"
"02","Alaska","105","02105","02371430","Hoonah-Angoon","Hoonah-Angoon Census Area"
"02","Alaska","110","02110","01419971","Juneau","Juneau City and Borough"
"02","Alaska","122","02122","01419972","Kenai Peninsula","Kenai Peninsula Borough"
"02","Alaska","130","02130","01419973","Ketchikan Gateway","Ketchikan Gateway Borough"
"02","Alaska","150","02150","01419974","Kodiak Island","Kodiak Island Borough"
"02","Alaska","158","02158","01419985","Kusilvak","Kusilvak Census Area"
"02","Alaska","164","02164","01419975","Lake and Peninsula","Lake and Peninsula Borough"
"02","Alaska","170","02170","01419976","Matanuska-Susitna","Matanuska-Susitna Borough"
"02","Alaska","180","02180","01419977","Nome","Nome Census Area"
"02","Alaska","185","02185","01419978","North Slope","North Slope Borough"
"02","Alaska","188","02188","01419979","Northwest Arctic","Northwest Arctic Borough"
"02","Alaska","195","02195","02516404","Petersburg","Petersburg Borough"
"02","Alaska","198","02198","01419980","Prince of Wales-Hyder","Prince of Wales-Hyder Census Area"
